"Sample"	"Maturation"	"Exposure"	"Dose"	"Replicate"	"10-HYDROXYDECANOIC ACID"	"3,4-DIHYDROXYPHENYLACETIC ACID"	"4-ACETAMIDOBUTANOIC ACID"	"5-OXO-L-PROLINE"	"6-DEOXY-L-GALACTOSE"	"ADENINE"	"ALLANTOIN"	"BENZOIC ACID"	"CAPRYLIC ACID"	"CITRIC ACID"
"I24h0.0a"	"Immature"	"24h"	0	"a"	51.3988070989599	59.4168098484098	5.46798603570059	1243.49016267946	41.1917307570075	60.6133333847161	9.55744904701635	104.760941753543	82.2443964593115	421.335647859922
"I24h0.0b"	"Immature"	"24h"	0	"b"	50.5682059337993	83.4657867574411	3.06703250516033	1266.71808105883	40.7581057866853	31.4573818679536	10.9670284115305	158.342924032619	133.556202218045	124.999498236175
"I24h0.0c"	"Immature"	"24h"	0	"c"	49.6316550836628	75.70125808979	6.53487411816461	1766.5728526035	46.7269975199615	60.6248170650331	11.6471325543693	118.477833868715	91.231869840508	280.7849376066
"I24h0.5a"	"Immature"	"24h"	0.5	"a"	47.7247119104418	81.3131577682693	7.5804663323971	1513.56710146012	39.8499743843646	44.5475427914271	8.61084648090361	174.358645395374	123.46031881802	192.065084023024
"I24h0.5b"	"Immature"	"24h"	0.5	"b"	50.6277184116123	50.042177840547	4.58238748213101	1231.73901324068	35.2635303003786	74.3157614729174	12.977579924519	100.970281323087	27.8270680606696	363.086458504598
"I24h0.5c"	"Immature"	"24h"	0.5	"c"	52.6883621040998	79.3545912246773	7.17965206583633	1774.19860694526	56.6640454391877	45.4739527789398	10.7801098157423	163.345616638601	141.710936504897	139.881787019622
"I24h1.0a"	"Immature"	"24h"	1	"a"	43.8313998619745	65.9560519106969	7.18741241654612	1363.71601572748	38.1132108330533	54.7398578320438	13.2313374975983	117.711256810706	107.915810815738	214.404074167527
"I24h1.0b"	"Immature"	"24h"	1	"b"	49.9849785174268	72.2092029606901	4.29106100720816	1552.91778565477	45.5054965793609	32.8373648834948	10.8203361818734	140.445326724797	47.1536512437891	138.594415169316
"I24h1.0c"	"Immature"	"24h"	1	"c"	55.2533032821233	64.0658459973752	4.5788620124276	1530.70768835687	34.2401102952196	69.9756032761829	12.8951055262746	95.4733823561944	93.2999504589651	417.925744527929
"I10d0.0a"	"Immature"	"10d"	0	"a"	39.9195261821752	90.6697067303791	5.01360893071816	2061.65735102563	53.323929125779	125.734085248045	19.9796466054238	198.217719548523	49.2115783810034	186.534299650315
"I10d0.0b"	"Immature"	"10d"	0	"b"	47.5769055493295	76.3499217716218	6.92369496655752	2872.57814741577	58.5791123064716	102.781640735059	30.6846632503591	181.307317748333	10.9562633994746	130.332123540523
"I10d0.0c"	"Immature"	"10d"	0	"c"	42.7019050476056	83.6693634770711	8.01466797401864	2795.35364559818	79.6710240340229	124.50614043329	38.3675295401143	222.119222670674	11.2843771217027	150.228650430509
"I10d0.5a"	"Immature"	"10d"	0.5	"a"	39.3593022645696	23.6587621074905	6.08190187525714	2298.47069419719	47.1203506440227	103.79700034992	23.9240282199722	86.0854485143311	88.6413653037845	148.45332298535
"I10d0.5b"	"Immature"	"10d"	0.5	"b"	40.181235737726	91.0196438098423	5.32636020083384	1695.83419156094	51.2623208087647	109.460716675987	19.4412851911971	196.364094915436	4.62250153443664	196.923657387755
"I10d0.5c"	"Immature"	"10d"	0.5	"c"	43.7438501866781	87.4286496410859	3.60280579781912	2389.77420499073	73.2118648086585	108.32954461902	35.9765216573805	238.31307464878	23.7044099981114	141.857259534348
"I10d1.0a"	"Immature"	"10d"	1	"a"	45.9788345480717	76.3399001327765	2.11400355730514	1715.43278962189	32.6478613743063	69.1918321288291	21.6817451598415	199.88712224393	65.4731576704902	103.717324575216
"I10d1.0b"	"Immature"	"10d"	1	"b"	53.7224861347559	62.5504764074866	0.843124984238634	1678.80359365876	36.907051198455	73.6016280415568	30.5510603452875	184.617854196306	34.6447955126202	67.6943570529462
"I10d1.0c"	"Immature"	"10d"	1	"c"	40.5625348424255	48.9313524106564	3.21801451402452	1679.81406349794	53.5584123964381	81.2958114201714	26.0334011450041	149.285169131891	36.3414729052741	139.163760757588
"M24h0.0a"	"Mature"	"24h"	0	"a"	44.615929903717	41.8578567567048	3.14150683012018	796.956242500953	18.3760370174479	39.2478936992413	34.3830276496713	110.627367907637	74.183706869596	52.3766416626277
"M24h0.0b"	"Mature"	"24h"	0	"b"	40.5823317524981	59.4786920903484	2.6467818936249	1104.18917487158	44.483742455648	62.0688561966227	48.1039341603432	106.563680795218	33.095106015077	181.099815705377
"M24h0.0c"	"Mature"	"24h"	0	"c"	38.9161801051869	40.1703573578579	2.9349573195153	1224.56049906276	47.0848266301341	56.1223064836106	67.4875055318119	114.043055491615	9.46126502994355	108.749396131067
"M24h0.5a"	"Mature"	"24h"	0.5	"a"	35.8150950446105	55.5174374249106	4.08253336123529	1036.13414220346	30.4723584195201	48.0597223843876	41.8201090303207	102.909902444004	52.6983649305671	101.200049688362
"M24h0.5b"	"Mature"	"24h"	0.5	"b"	48.4420619452815	51.2064391146967	2.3551423451711	841.373447969317	45.1718720809544	42.871718807771	45.9802467697766	108.895629640847	71.4131857626158	102.858862025636
"M24h0.5c"	"Mature"	"24h"	0.5	"c"	34.6376686070074	53.4478441000943	3.38258868096147	1092.7115172731	43.3452803229508	48.3154139488292	63.1162449284771	142.084634071937	85.2010272548769	111.784377349965
"M24h1.0a"	"Mature"	"24h"	1	"a"	45.4519467418683	61.9275872875583	3.36315705792212	926.642676151976	36.9473219108751	40.2677816572229	33.4857278821504	102.300996337663	88.7248713883871	132.504780291725
"M24h1.0b"	"Mature"	"24h"	1	"b"	54.2707413399828	87.0692445777264	3.34381943128769	821.708488335758	26.4440725681872	45.3231240714856	53.5350902067057	197.440147899557	103.569903165909	93.682940261133
"M24h1.0c"	"Mature"	"24h"	1	"c"	38.7906737287887	79.0499265122686	0.625685377095251	796.749370151123	38.9707326924262	43.0464595431523	68.0834878093228	188.669941173086	43.5636961354128	101.337381185138
"M10d0.0a"	"Mature"	"10d"	0	"a"	35.8526660354794	72.5102576861154	4.22451068987694	828.687887034157	45.0932919306824	148.130731505851	37.9787626976453	141.838734976948	79.7486866751963	280.068741641482
"M10d0.0b"	"Mature"	"10d"	0	"b"	47.8833998454431	70.8111269488794	2.43000121295496	663.179256585879	44.9900070534398	116.713940831129	131.728428745218	157.863359858949	100.401760269367	305.821337388589
"M10d0.0c"	"Mature"	"10d"	0	"c"	47.3752318130197	36.1953463673434	5.76078006991472	916.312040859739	33.5540581332874	73.934788567931	58.7984476729642	87.6493317229005	41.5727266142839	300.197492532254
"M10d0.5a"	"Mature"	"10d"	0.5	"a"	45.0576690883897	55.568662292976	7.05754425246279	804.743168875955	37.9140995928768	96.6416845749408	45.6286287244377	100.536610844852	24.3461079359522	356.940133664246
"M10d0.5b"	"Mature"	"10d"	0.5	"b"	33.9664308549332	63.5122302998625	5.16636613994336	886.094454520337	39.4708247822221	91.5324930591218	62.2172947707809	121.120091515	82.7417725296594	351.802021662421
"M10d0.5c"	"Mature"	"10d"	0.5	"c"	40.7854222104271	68.8973105120909	3.07467460563665	893.447126362744	45.396699273343	70.180654420035	85.5145314819334	134.571454839584	81.244661509333	349.080001317689
"M10d1.0a"	"Mature"	"10d"	1	"a"	42.5038744708775	106.536188575635	3.13964378778973	687.387112040718	19.6892073626756	51.7095377404379	81.1839735554744	212.866761045028	125.080994965668	96.4778280665664
"M10d1.0b"	"Mature"	"10d"	1	"b"	48.7789460882429	68.2206095625767	2.34965007277907	828.346238740858	37.5343879891796	91.8593784410802	99.3029933857526	134.2874137304	71.9685149785182	358.470435343662
"M10d1.0c"	"Mature"	"10d"	1	"c"	55.9768116670773	76.7694290334679	1.5310879768536	655.168971013729	28.8977165176027	69.5484306313043	75.4318604661849	150.714051058097	106.90127241276	351.006278594808
